"Timestamp","What is your opinion about pulpulaks' water quality?  

Ձեր կարծիքը պուլպուլակների ջրի որակի մասին","Armenian pulpulaks together lose 240 million cubic meters of water annually. What do you think about the quantity of water loss? 

Հայաստանյան ցայտաղբյուրները միասին տարեկան կորցնում են 240 միլիոն խմ ջուր։ Ի՞նչ կարծիքի եք ջրի կորստի քանակի մասին: ","Do you think there is a problem? If yes, what kind of challenges do you foresee and how to mitigate them?

Ի՞նչ եք կարծում, խնդիր կա՞։ Եթե այո, ապա ինչպիսի՞ խոչընդոտներ կան և ինչպե՞ս մեղմել դրանք:","Which is the pulpulak in Yerevan that has the tastiest water?  

Երևանյան ո՞ր ցայտաղբյուրն ունի ամենահամեղ ջուրը։","How do you think water in Armenia is priced?  (The cost for 1m^3 is about 200 AMD)

Ի՞նչ կարծիքի եք Հայաստանում ջրի սակագնի մասին: (1 մ^3 արժեքը մոտ 200 դր է)"
"2023/11/30 6:17:46 PM GMT+4","Very good/ Շատ լավ","ջուրը չի կորչում, շրջանառվում է","No","Near Pushkin street","Reasonable / Խելամիտ"
"2023/11/30 6:19:11 PM GMT+4","Good / Լավ","Շատ շատ է:","Պետք է բացովի փակովի սարքել","Զեյթոունինը","Cheap / Մատչելի"
"2023/11/30 6:19:20 PM GMT+4","Normal / Միջին","That is a lot.","Perhaps change the flow of the water from non stop to a press of a button","Cocernakaberd","Reasonable / Խելամիտ"
"2023/11/30 6:19:43 PM GMT+4","Normal / Միջին","Korust chi","No problem","Masiv","Reasonable / Խելամիտ"
"2023/11/30 6:20:14 PM GMT+4","Good / Լավ","Qanaky mec e, petq e krchatel","Mentalitetn e amenamec xochndoty","Hraparaki pulpulaky","Cheap / Մատչելի"
"2023/11/30 6:20:25 PM GMT+4","Good / Լավ","Կարող ենք միջոցներ կիրառել այս թիվը փոքրացնելու նպատաակով:","Անընդհատ հոսող պուլպուլակները","Բոլորը","Reasonable / Խելամիտ"
"2023/11/30 6:23:04 PM GMT+4","Normal / Միջին","Terrible","No problem","The ones in Nor Nork","Expensive / Թանկ"
"2023/11/30 6:24:25 PM GMT+4","Good / Լավ","Մեծ կորուստ է ",".","Չգիտեմ ","Reasonable / Խելամիտ"
"2023/11/30 6:25:44 PM GMT+4","Very good/ Շատ լավ","I think that overall water loss rate in Armenia is too high, and pulpulaks have a huge impact in this phenomenon. The cause of it can be a bad water control on pulpulaks because the vast majority of them do not have taps and they just flow 24/7 which is an unnecessary water waste.","In Armenia water reserves are more compared to other countries, and we continue to waste water unsparingly. As already mentioned above, there should be water control on pulpulaks and there should be taps on every single one of them.","For me, the tastiest water have pulpulaks that are located in Avan and Nor Nork region.","Cheap / Մատչելի"
"2023/11/30 6:26:40 PM GMT+4","Very good/ Շատ լավ","Ծավալը բավականին մեծ է:","Խնդիրներ կան կապված ջրի անընդհատ հոսքի հետ, բայց դա կարելի է լուծել ցայտաղբյուրներում ջրի հոսքը կառավարելով:","Մալաթիա Սեբաստիա համայնքում գտնվող ցայտաղբյուր :)","Reasonable / Խելամիտ"
"2023/11/30 6:27:58 PM GMT+4","Normal / Միջին","I think it’s a huge problem and must be controlled somehow.","Put a button, so people can drink as much water as they need.","Republic square's pulpulak","Reasonable / Խելամիտ"
"2023/11/30 6:37:06 PM GMT+4","Very good/ Շատ լավ","It's too much","The water loss is obviously a problem, and maybe the poured water can be reused in the fields","The one near Megamall","Cheap / Մատչելի"
"2023/11/30 6:39:46 PM GMT+4","Normal / Միջին","No thoughts ","No","Near History Museum at the Republic Square","Reasonable / Խելամիտ"
"2023/11/30 6:40:02 PM GMT+4","Very good/ Շատ լավ","Հաշվի առնելով մեր օրերում խմելու ջրի քանակի խնդիրը աշխարհում, կարծում եմ, խելամիտ կլինի գտնել տարբերակներ, թե ինչպե՞ս կարող ենք օգտագործել այն","Կամ պետք է կառավարել ջրի հոսքը, կամ գտնել տարբերակներ օգտագործելու հոսող ջուրը","Աբովյան փողիցի՝ դեպի Հրապարակ հատվածի ցայտաղբյուրի","Reasonable / Խելամիտ"
"2023/11/30 6:45:30 PM GMT+4","Very good/ Շատ լավ","Shat vat a","Of course there is a problem, maybe pulpulaks have to work in a way when someone wants to drink, they turn it on that time, and off after","I don’t know because I didn’t taste all the water from pulpulaks, but the pulpulak in our yard tastes good! It’s is Komitas, Mamikonyants street","Reasonable / Խելամիտ"
"2023/11/30 6:46:49 PM GMT+4","Very good/ Շատ լավ","The amount of water loss is huge!!!","Yes, in order to decrease the amount of water being wasted, I think valves should be installed on all pulpulaks.","Republic Square Pulpulak","Cheap / Մատչելի"
"2023/11/30 6:50:12 PM GMT+4","Very good/ Շատ լավ","-","Ոչ","Հանրապետության Հրապարակ","Reasonable / Խելամիտ"
"2023/11/30 7:08:25 PM GMT+4","Good / Լավ","Կարծում եմ կորցրածի չափը բավականին շատ է","Այո, կարելի է ստեղծել ցայտաղբյուրներ որոնք միայն խմելուց կմիացնենք և կորուստ չենք ունենա","Մալիբու այգու ցայտաղբյուրը","Reasonable / Խելամիտ"
"2023/11/30 7:19:13 PM GMT+4","Good / Լավ","Այն դեռ խնդիր չի առաջացբում, քանի դեռ մեր երկիրը ջրի պաշարների լուրջ խնդիր չունի։","Այն կարող է ապագայում շատ զարգանալ։","Հրապարակի մոտինը","Reasonable / Խելամիտ"
"2023/11/30 8:31:55 PM GMT+4","Good / Լավ","vat","dzmrany anjatel,","avan, masiv","Reasonable / Խելամիտ"
"2023/11/30 8:35:33 PM GMT+4","Normal / Միջին","Չափից դուրս շատ է","Չափից շատ ջրի կորուստ է, կարելի է կառավարելի դարձնել, որպեսզի ջրի ցիրկուլյացիայի և ֆիլտրման խնդիրներ չառաջանան:","Մասիվ, մեր հայաթի, Գյուրջյան փողոց","Reasonable / Խելամիտ"
"2023/11/30 8:53:13 PM GMT+4","Normal / Միջին","Ինչքանով տեղյակ եմ ջուրը վերամշակվում է ","Խնդիր չեմ տեսնում","Մեր բակի 😂","Reasonable / Խելամիտ"
"2023/11/30 8:58:32 PM GMT+4","Very good/ Շատ լավ","Not Much","No Problem","Hanrapetutyan 62, Both of Them","Reasonable / Խելամիտ"
"2023/11/30 9:42:58 PM GMT+4","Pulpulaks in kentron have disgusting water, elsewhere its great","Always curious if we can ran out of water or not, loosing such amount of water sounds like a problem to me","Have no idea","There are many, the ones in AUA park are one of them) ","Expensive / Թանկ"
"2023/11/30 10:26:46 PM GMT+4","Very good/ Շատ լավ","պետք են ջրի վերամշակման կայաններ","վերամշակման կայանները ծախսատար են. պետք է մտածել համակարգ որը կհետաքրքրի ներդրողներին","Aua park","Expensive / Թանկ"
"2023/12/01 1:15:11 AM GMT+4","Good / Լավ","Ջրի կորուստը շատ մեծ է, այդ իսկ պատճառով էլ պետք է տեղադրել հատուկ փականներ ջրի հոսքը կառավարելու համար:","Ունենք ռեսուրսների սխալ կառավարման խնդիր։","Հյուսիսային պողոտայի","Reasonable / Խելամիտ"
"2023/12/01 2:29:44 AM GMT+4","Good / Լավ","The quality of eater will decrease ","N.A.","Mashtoc","Reasonable / Խելամիտ"
"2023/12/01 7:51:49 AM GMT+4","Good / Լավ","Շատ է։ Կարծում եմ ճիշտ որոշում էր փականներ դնել պուլպուլակների վրա։ Այդպես շատ ավելի քիչ է ջրի կորուստը լինելու։","Խնդիրը ջրի շատ կորուստն է։ Կարծում եմ խոչնդոտները քիչ են և հաղթհարելի։ ","Չեմ հիշում","Reasonable / Խելամիտ"
"2023/12/01 10:55:01 AM GMT+4","Good / Լավ","Լուծումը բավականին հեշտ է, պետք է դնել փակվող պուլպուլակներ","Լուծումը ներառված է նախորդ հարցի պատասխանում","Ավան, դուրյան թաղամաս, 35շի կողքինը 🥴","Cheap / Մատչելի"
"2023/12/01 11:38:29 AM GMT+4","Good / Լավ","Անիմաստ կորուստը շատ շատ է","Ցայտաղբյուրների վրա դրվեն փականներ որ երբ մարդը մոտենա բացի փականը խմի ջուր և փակի։","Ավանի, մասիվի բոլոր ցայտաղբյուրները, և կենտրոնի մի մասը","Reasonable / Խելամիտ"
"2023/12/01 11:59:19 AM GMT+4","Good / Լավ","ЭТО БОЛЬШАЯ ПОТЕРЯ, НЕЛЬЗЯ ТАК ХАЛАТНО ОТНОСИТЬСЯ К НАШИМ ВОДНЫМ РЕСУРСАМ","МОЖНО СДЕЛАТЬ ПОДАЧУ ВОДЫ ИЗ ПУЛПУЛАКОВ ПО КНОПКАМ И ТОГДА ВОДА НЕ БУДЕТ ВЫТЕКАТЬ ПРОСТО ТАК","Все вкусно","Reasonable / Խելամիտ"
"2023/12/01 12:37:54 PM GMT+4","Good / Լավ","Մեկ-մեկ մտքովս անցել է, բայց երբեք չեմ խորացել այդ հարցի շուրջ","Կհամաձայնվեմ, որ խնդիր կա, բայց հստակ լուծում առաջարկել չեմ կարող, քանի որ, ինչպես նշեցի նախորդ հարցի պատասխանում, չեմ խորացել խնդրի մեջ","Զեյթունի տարածքում գտնվող ցանկացած պուլպուլակ","Reasonable / Խելամիտ"
"2023/12/01 1:00:50 PM GMT+4","Good / Լավ","ահավոր ա ","գոնե բոլորը բացովի փակովի լինեն ոնցոր շատ տեղերում ա","եսիմ","Expensive / Թանկ"
"2023/12/01 2:45:44 PM GMT+4","Good / Լավ","Չափազանց շատ է","Կարելի է բացելու և փակելու փականներ տեղադրել","Մեր բակի:)","Reasonable / Խելամիտ"
"2023/12/01 4:35:54 PM GMT+4","Very good/ Շատ լավ","Սարսափելի ա","կարելի ա կառավարվող միջոց օգտագործել, խմելուց բացենք ու փակենք","Մեր բակինն ու մասիվինը)))","Reasonable / Խելամիտ"
"2023/12/01 10:02:09 PM GMT+4","Normal / Միջին","Շատ շատա","կարող են ավելացնել փական ","Ավանի, Մասիվի, Աջափնյակի","Reasonable / Խելամիտ"
"2023/12/02 5:37:44 PM GMT+4","Normal / Միջին","Շատ ջուր է ծախսվում","Պետք է օգտագործել փականներ","Նոր Նորք","Reasonable / Խելամիտ"
